CustomerID,JoinDate,Region,Gender,AgeGroup
C00280,2023-03-26,North America,Other,18-24
C00281,2024-04-05,South America,Other,25-34
C00282,2021-12-09,Europe,Male,18-24
C00283,2023-07-03,Europe,Female,35-44
C00284,2021-02-25,Asia,Female,35-44
C00285,2022-02-04,Asia,Male,45-54
C00286,2024-02-08,Europe,Male,55+
C00287,2023-02-03,Europe,Other,18-24
C00288,2022-12-24,Australia,Other,35-44
C00289,2024-01-19,North America,Female,55+
C00290,2021-08-07,Europe,Other,25-34
C00291,2021-01-22,North America,Female,18-24
C00292,2021-08-17,North America,Other,35-44
C00293,2022-09-19,North America,Male,45-54
C00294,2022-08-18,Asia,Other,25-34
C00295,2023-08-19,Asia,Male,55+
C00296,2023-10-29,South America,Other,35-44
C00297,2021-09-13,Australia,Male,18-24
C00298,2022-06-09,Australia,Female,25-34
C00299,2022-05-21,North America,Other,18-24
C00300,2021-03-07,South America,Female,45-54
C00301,2021-01-12,South America,Male,55+
C00302,2023-08-06,Europe,Male,35-44
C00303,2021-11-27,Europe,Female,25-34
C00304,2023-05-12,North America,Female,18-24
C00305,2022-05-21,Asia,Female,55+
C00306,2021-06-22,Asia,Other,45-54
C00307,2021-08-20,South America,Male,18-24
C00308,2022-01-12,Asia,Other,55+
C00309,2023-08-25,Europe,Other,18-24
C00310,2021-01-16,Asia,Female,25-34
C00311,2021-02-28,Europe,Male,45-54
C00312,2022-11-11,South America,Male,35-44
C00313,2023-04-05,North America,Male,55+
C00314,2023-05-23,North America,Male,35-44
C00315,2022-07-30,South America,Female,45-54
C00316,2022-03-18,Europe,Other,25-34
C00317,2023-10-05,North America,Male,18-24
C00318,2022-06-29,Asia,Other,25-34
C00319,2022-01-21,Asia,Other,25-34
C00320,2021-04-22,Australia,Male,25-34
C00321,2021-03-14,Australia,Other,45-54
C00322,2021-04-20,Australia,Male,45-54
C00323,2023-03-31,Asia,Female,18-24
C00324,2023-03-28,Europe,Female,45-54
C00325,2021-10-19,South America,Male,35-44
C00326,2023-02-08,South America,Male,35-44
C00327,2021-03-24,Australia,Other,45-54
C00328,2023-11-14,Europe,Female,35-44
C00329,2021-05-12,Europe,Male,45-54
C00330,2021-07-22,Asia,Male,25-34
C00331,2022-07-15,Australia,Female,45-54
C00332,2023-07-21,Australia,Female,45-54
C00333,2023-10-23,Europe,Female,45-54
C00334,2021-09-10,North America,Female,18-24
C00335,2021-04-02,South America,Female,18-24
C00336,2023-08-05,North America,Female,18-24
C00337,2022-10-20,Asia,Female,18-24
C00338,2023-08-02,South America,Female,55+
C00339,2024-01-10,Europe,Other,25-34
C00340,2022-08-01,Europe,Female,55+
C00341,2022-07-06,North America,Other,25-34
C00342,2022-12-20,Australia,Other,45-54
C00343,2022-12-21,North America,Male,35-44
C00344,2022-08-29,Europe,Other,55+
C00345,2022-01-04,Asia,Female,25-34
C00346,2022-10-12,Asia,Female,35-44
C00347,2024-01-15,Asia,Male,18-24
C00348,2024-03-10,Europe,Male,18-24
C00349,2022-04-20,Australia,Female,25-34
C00350,2023-08-17,North America,Male,45-54
C00351,2023-02-02,Australia,Other,35-44
C00352,2021-10-03,North America,Male,18-24
C00353,2021-03-03,Europe,Female,45-54
C00354,2021-02-04,North America,Other,25-34
C00355,2021-05-28,Australia,Female,25-34
C00356,2021-09-22,Asia,Male,25-34
C00357,2023-09-22,North America,Other,25-34
C00358,2021-12-09,Europe,Male,25-34
C00359,2023-07-27,North America,Male,25-34
C00360,2022-08-29,Australia,Male,45-54
C00361,2021-06-16,North America,Female,45-54
C00362,2023-07-23,Australia,Male,55+
C00363,2024-01-11,South America,Male,45-54
C00364,2024-02-06,Asia,Male,55+
C00365,2023-04-26,Australia,Other,18-24
C00366,2023-04-13,Asia,Female,55+
C00367,2022-10-18,North America,Male,25-34
C00368,2022-03-20,Australia,Male,55+
C00369,2024-03-24,South America,Female,45-54
C00370,2021-03-20,North America,Male,55+
C00371,2023-12-14,Europe,Female,55+
C00372,2021-11-13,South America,Other,45-54
C00373,2022-11-21,Europe,Male,18-24
C00374,2022-09-08,Europe,Other,18-24
C00375,2022-10-28,Europe,Male,55+
C00376,2023-02-16,North America,Other,18-24
C00377,2021-08-11,Europe,Other,45-54
C00378,2021-11-23,North America,Male,25-34
C00379,2021-06-28,Asia,Female,18-24
C00380,2021-02-06,North America,Other,45-54
C00381,2024-02-02,Australia,Other,25-34
C00382,2022-02-21,Australia,Male,18-24
C00383,2021-05-12,Asia,Other,45-54
C00384,2022-03-30,South America,Other,18-24
C00385,2022-04-06,North America,Other,55+
C00386,2023-03-10,South America,Other,18-24
C00387,2021-10-21,Europe,Other,18-24
C00388,2023-03-05,Australia,Female,35-44
C00389,2021-04-29,Asia,Male,35-44
C00390,2022-11-29,North America,Female,25-34
C00391,2021-05-09,Europe,Female,18-24
C00392,2022-10-20,Australia,Female,25-34
C00393,2022-09-16,Australia,Male,18-24
C00394,2021-12-22,North America,Female,55+
C00395,2022-07-01,Australia,Male,45-54
C00396,2021-02-16,Europe,Male,25-34
C00397,2022-12-20,South America,Female,18-24
C00398,2021-01-01,Europe,Male,55+
C00399,2022-08-26,North America,Other,35-44
C00400,2022-08-26,South America,Other,25-34
C00401,2021-03-14,Europe,Male,25-34
C00402,2024-02-14,Asia,Other,55+
C00403,2023-01-01,South America,Male,25-34
C00404,2023-03-18,Europe,Female,18-24
C00405,2022-07-10,Asia,Other,45-54
C00406,2023-04-26,South America,Male,25-34
C00407,2021-08-06,North America,Other,45-54
C00408,2023-02-17,North America,Other,45-54
C00409,2022-11-13,Europe,Male,18-24
C00410,2024-02-19,Asia,Other,45-54
C00411,2023-08-15,North America,Other,55+
C00412,2022-12-04,Australia,Other,45-54
C00413,2022-07-01,North America,Other,45-54
C00414,2023-06-06,Asia,Female,35-44
C00415,2023-09-02,Asia,Other,18-24
C00416,2024-01-18,Asia,Female,25-34
C00417,2023-09-19,Australia,Other,35-44
C00418,2021-02-05,Europe,Female,35-44
C00419,2023-07-17,Australia,Female,18-24
C00420,2022-09-19,Europe,Male,45-54
C00421,2023-11-29,North America,Female,18-24
C00422,2022-07-05,North America,Other,45-54
C00423,2022-10-11,Asia,Other,35-44
C00424,2023-12-26,North America,Other,25-34
C00425,2022-10-30,Australia,Other,25-34
C00426,2021-08-13,Australia,Male,35-44
C00427,2023-03-29,Asia,Male,25-34
C00428,2021-01-17,North America,Female,45-54
C00429,2022-04-02,Europe,Other,18-24
C00430,2023-08-29,Australia,Male,55+
C00431,2022-11-23,North America,Other,55+
C00432,2021-07-02,Asia,Other,18-24
C00433,2022-01-31,South America,Male,25-34
C00434,2024-02-17,Asia,Male,35-44
C00435,2021-02-06,North America,Other,25-34
C00436,2023-07-23,Australia,Other,45-54
C00437,2021-08-06,North America,Other,55+
C00438,2021-09-14,North America,Other,25-34
C00439,2023-02-23,North America,Female,25-34
C00440,2021-06-22,South America,Female,35-44
C00441,2022-04-03,South America,Male,25-34
C00442,2022-05-02,Australia,Female,18-24
C00443,2023-03-02,Australia,Male,35-44
C00444,2022-09-07,North America,Female,25-34
C00445,2022-08-03,Asia,Female,35-44
C00446,2022-09-21,South America,Female,25-34
C00447,2023-08-26,Europe,Other,45-54
C00448,2023-08-24,Australia,Male,45-54
C00449,2021-06-27,Australia,Male,55+
C00450,2024-04-07,Europe,Male,18-24
C00451,2021-03-23,Australia,Other,25-34
C00452,2024-04-09,Asia,Male,55+
C00453,2021-05-29,South America,Female,55+
C00454,2021-03-16,Australia,Male,55+
C00455,2023-04-25,South America,Male,18-24
C00456,2024-02-28,South America,Male,25-34
C00457,2023-05-05,North America,Other,18-24
C00458,2023-03-07,Europe,Male,45-54
C00459,2021-06-10,North America,Female,35-44
C00460,2021-08-05,Europe,Female,55+
C00461,2021-07-08,South America,Male,18-24
C00462,2021-04-19,North America,Male,18-24
C00463,2024-03-12,South America,Female,55+
C00464,2022-09-04,South America,Male,18-24
C00465,2022-06-26,Australia,Male,35-44
C00466,2022-01-31,Asia,Male,18-24
C00467,2022-08-16,Asia,Female,18-24
C00468,2021-06-22,Europe,Male,55+
C00469,2021-07-01,Europe,Male,35-44
C00470,2023-09-06,Australia,Other,35-44
C00471,2021-09-11,North America,Other,25-34
C00472,2021-04-14,Australia,Female,18-24
C00473,2022-04-10,Australia,Male,18-24
C00474,2023-12-09,South America,Other,35-44
C00475,2022-05-30,Asia,Other,18-24
C00476,2023-07-09,Europe,Male,18-24
C00477,2024-04-09,South America,Female,55+
C00478,2021-01-25,North America,Female,45-54
C00479,2021-05-10,Europe,Male,55+
C00480,2023-04-14,Asia,Male,25-34
C00481,2023-12-05,Europe,Male,25-34
C00482,2022-08-14,Australia,Other,55+
C00483,2021-03-26,Asia,Male,55+
C00484,2021-04-17,Europe,Female,25-34
C00485,2021-05-08,South America,Other,18-24
C00486,2021-08-30,Asia,Male,25-34
C00487,2023-11-19,North America,Male,35-44
C00488,2024-02-06,Europe,Female,55+
C00489,2021-06-12,North America,Male,55+
C00490,2023-10-28,Asia,Male,55+
C00491,2023-06-28,Australia,Male,25-34
C00492,2023-04-04,Europe,Male,35-44
C00493,2023-10-25,Asia,Other,25-34
C00494,2021-10-05,Europe,Male,35-44
C00495,2022-09-16,Asia,Male,55+
C00496,2022-02-17,Asia,Other,45-54
C00497,2023-03-02,North America,Female,18-24
C00498,2021-12-06,South America,Male,35-44
C00499,2022-08-26,North America,Female,35-44
C00500,2021-12-30,Europe,Other,18-24
C00501,2022-10-26,South America,Other,35-44
C00502,2021-07-13,South America,Female,35-44
C00503,2022-11-14,North America,Male,45-54
C00504,2022-08-06,North America,Male,18-24
C00505,2021-06-03,Europe,Female,25-34
C00506,2022-10-15,Asia,Female,18-24
C00507,2021-08-29,Europe,Male,45-54
C00508,2023-03-16,Australia,Other,45-54
C00509,2022-11-01,Australia,Female,45-54
C00510,2021-10-06,Asia,Other,25-34
C00511,2022-09-11,Australia,Male,35-44
C00512,2022-01-13,South America,Other,45-54
C00513,2023-10-13,Europe,Male,35-44
C00514,2022-06-21,Australia,Male,25-34
C00515,2021-05-01,Europe,Other,35-44
C00516,2023-12-18,South America,Male,18-24
C00517,2023-10-25,South America,Other,45-54
C00518,2021-12-10,North America,Female,25-34
C00519,2021-11-07,Australia,Male,25-34
C00520,2021-03-21,South America,Female,18-24
C00521,2022-01-17,Europe,Other,25-34
C00522,2021-03-04,Australia,Male,55+
C00523,2024-02-08,North America,Male,25-34
C00524,2023-05-11,South America,Other,35-44
C00525,2022-10-27,South America,Other,55+
C00526,2022-03-08,Asia,Male,55+
C00527,2021-07-11,Europe,Male,45-54
C00528,2022-06-04,Australia,Female,55+
C00529,2021-12-02,Australia,Female,18-24
C00530,2024-02-28,Europe,Female,55+
C00531,2021-04-28,Australia,Female,45-54
C00532,2022-05-04,South America,Female,18-24
C00533,2021-01-11,Asia,Male,55+
C00534,2022-11-13,Asia,Other,55+
C00535,2022-11-23,Europe,Male,45-54
C00536,2021-06-14,Australia,Female,25-34
C00537,2023-03-18,Australia,Female,55+
C00538,2021-06-21,Australia,Male,18-24
C00539,2022-09-04,Asia,Male,25-34
C00540,2022-03-19,Australia,Female,55+
C00541,2021-10-26,Europe,Male,45-54
C00542,2021-06-13,North America,Male,55+
C00543,2021-05-24,Australia,Male,55+
C00544,2021-03-04,South America,Other,55+
C00545,2022-06-06,Asia,Other,25-34
C00546,2023-07-14,North America,Female,35-44
C00547,2023-10-19,Australia,Female,55+
C00548,2023-01-16,Australia,Male,55+
C00549,2022-04-01,South America,Other,18-24
C00550,2023-03-27,South America,Other,18-24
C00551,2022-01-12,Australia,Female,35-44
C00552,2023-05-22,Asia,Male,18-24
C00553,2024-01-03,Europe,Female,18-24
C00554,2021-04-24,Europe,Male,18-24
C00555,2023-03-09,Asia,Male,35-44
C00556,2022-03-05,North America,Other,18-24
C00557,2023-07-04,Asia,Female,18-24
C00558,2024-02-09,Asia,Male,55+
C00559,2021-09-26,Australia,Female,25-34
C00560,2021-03-10,North America,Other,25-34
C00561,2023-02-11,Australia,Other,55+
C00562,2021-04-17,Asia,Other,25-34
C00563,2023-03-13,Australia,Other,35-44
C00564,2022-12-30,South America,Male,55+
C00565,2021-01-24,South America,Female,45-54
C00566,2022-04-18,Australia,Other,55+
C00567,2022-07-06,South America,Female,45-54
C00568,2021-01-26,Asia,Male,35-44
C00569,2022-03-25,South America,Female,18-24
C00570,2022-11-10,Australia,Female,35-44
C00571,2021-01-11,Asia,Female,55+
C00572,2021-07-15,Australia,Male,18-24
C00573,2023-12-14,Asia,Female,35-44
C00574,2022-03-03,North America,Male,45-54
C00575,2022-01-07,Europe,Female,55+
C00576,2022-11-30,Europe,Female,18-24
C00577,2022-09-19,Australia,Other,45-54
C00578,2023-11-25,North America,Female,25-34
C00579,2021-11-23,Australia,Other,55+
C00580,2021-12-26,North America,Female,55+
C00581,2022-01-06,Australia,Female,25-34
C00582,2021-05-02,Australia,Female,35-44
C00583,2021-12-21,Australia,Female,18-24
C00584,2023-05-25,Europe,Other,18-24
C00585,2022-02-15,Asia,Male,55+
C00586,2021-12-10,South America,Male,25-34
C00587,2024-02-22,North America,Male,18-24
C00588,2024-04-14,Australia,Female,35-44
C00589,2022-02-09,Australia,Other,55+
C00590,2022-07-25,North America,Male,45-54
C00591,2023-09-23,Europe,Female,25-34
C00592,2021-04-30,Australia,Male,18-24
C00593,2022-09-02,North America,Other,45-54
C00594,2023-09-28,Asia,Other,25-34
C00595,2023-07-14,North America,Male,45-54
C00596,2023-09-07,Australia,Male,55+
C00597,2021-03-03,Europe,Male,18-24
C00598,2023-03-29,North America,Female,45-54
C00599,2024-03-01,Europe,Female,45-54
C00600,2023-04-22,Europe,Other,45-54
C00601,2022-05-07,Asia,Other,35-44
C00602,2021-09-06,South America,Female,45-54
C00603,2024-02-22,North America,Male,25-34
C00604,2022-05-03,Asia,Male,35-44
C00605,2023-05-11,Europe,Male,18-24
C00606,2023-03-18,North America,Male,45-54
C00607,2023-10-08,Australia,Male,45-54
C00608,2024-02-03,Australia,Female,55+
C00609,2022-07-18,Australia,Female,35-44
C00610,2021-05-10,Europe,Other,35-44
C00611,2022-11-12,Europe,Other,25-34
C00612,2024-03-21,Europe,Male,18-24
C00613,2022-06-05,Asia,Other,35-44
C00614,2023-09-09,Europe,Female,25-34
C00615,2022-06-09,Asia,Female,25-34
C00616,2023-08-31,Europe,Male,25-34
C00617,2021-10-03,South America,Male,18-24
C00618,2022-05-09,North America,Other,45-54
C00619,2023-05-28,South America,Other,25-34
C00620,2023-02-04,Europe,Female,55+
C00621,2023-07-12,South America,Male,25-34
C00622,2024-02-22,Europe,Male,55+
C00623,2022-03-28,North America,Female,25-34
C00624,2023-12-11,Australia,Other,18-24
C00625,2021-09-08,Asia,Male,35-44
C00626,2021-03-17,North America,Female,45-54
C00627,2021-10-15,Australia,Female,55+
C00628,2023-07-26,Australia,Other,18-24
C00629,2022-03-28,North America,Male,25-34
C00630,2022-11-29,Australia,Male,18-24
C00631,2021-10-18,South America,Female,35-44
C00632,2022-06-11,South America,Female,45-54
C00633,2021-08-05,North America,Male,45-54
C00634,2022-03-24,Europe,Male,55+
C00635,2023-11-03,Australia,Female,35-44
C00636,2023-10-25,Australia,Other,35-44
C00637,2024-02-03,Asia,Female,45-54
C00638,2022-05-02,Australia,Female,45-54
C00639,2024-03-24,South America,Other,18-24
C00640,2022-08-03,Asia,Female,18-24
C00641,2023-11-19,Australia,Female,35-44
C00642,2022-05-06,South America,Other,18-24
C00643,2022-01-19,Asia,Other,45-54
C00644,2023-02-10,South America,Male,35-44
C00645,2023-05-02,South America,Female,18-24
C00646,2023-06-10,North America,Female,45-54
C00647,2022-12-27,South America,Other,25-34
C00648,2023-10-28,Europe,Other,35-44
C00649,2023-02-19,South America,Female,18-24
C00650,2021-11-21,South America,Female,35-44
C00651,2023-10-28,North America,Female,35-44
