SubID,CustomerID,PlanID,StartDate,EndDate,Status,PaymentMethod,DiscountPercent,Currency,InvoiceAmount
S000032,C03291,P003,2023-04-29,,Active,Credit Card,20,USD,39.99
S000033,C03896,P003,2023-03-22,,Active,Credit Card,0,USD,249.95
S000034,C02289,P004,2022-09-22,,Active,Credit Card,0,USD,1199.88
S000035,C00860,P004,2023-07-09,,Active,Credit Card,20,USD,319.97
S000036,C06049,P002,2023-05-02,2024-04-26,Cancelled,Bank Transfer,5,INR,341.89
S000037,C14794,P002,2024-02-05,,Active,PayPal,0,EUR,209.93
S000038,C03717,P001,2022-10-31,,Active,Credit Card,5,INR,85.44
S000039,C06528,P003,2021-10-17,,Active,Bank Transfer,10,EUR,359.93
S000040,C01830,P003,2023-03-01,,Active,PayPal,10,USD,539.89
S000041,C01568,P002,2022-10-18,2023-02-15,Cancelled,Credit Card,10,USD,107.96
S000042,C10849,P002,2022-01-07,,Active,Bank Transfer,15,USD,203.93
S000043,C05413,P001,2022-12-14,,Active,Credit Card,0,USD,149.9
S000044,C08687,P003,2021-01-24,,Active,PayPal,20,EUR,479.9
S000045,C03216,P003,2021-02-21,,Active,Bank Transfer,0,USD,499.9
S000046,C07297,P001,2023-06-19,,Active,PayPal,5,USD,85.44
S000047,C05119,P001,2023-07-06,,Active,Credit Card,0,USD,179.88
S000048,C02757,P004,2022-02-10,,Active,PayPal,20,INR,719.93
S000049,C03518,P004,2022-09-04,2023-03-03,Cancelled,Credit Card,10,EUR,539.95
S000050,C01380,P004,2024-02-17,,Active,Credit Card,0,USD,999.9
S000051,C10006,P002,2024-03-02,,Active,PayPal,5,USD,28.49
S000052,C00434,P004,2022-02-09,2022-05-10,Cancelled,Bank Transfer,0,USD,299.97
S000053,C05389,P003,2022-12-09,,Active,Credit Card,5,USD,332.43
S000054,C05143,P001,2024-01-01,,Active,PayPal,15,EUR,76.45
S000055,C14012,P004,2024-02-29,2024-05-29,Cancelled,Credit Card,0,INR,299.97
S000056,C00494,P004,2022-02-16,2022-07-16,Cancelled,Bank Transfer,20,USD,399.96
S000057,C13606,P004,2021-12-09,,Active,Credit Card,0,EUR,799.92
S000058,C10474,P001,2022-01-16,,Active,Credit Card,5,USD,142.4
S000059,C14981,P004,2023-07-31,,Active,Credit Card,15,INR,339.97
S000060,C02648,P004,2021-12-15,,Active,Bank Transfer,15,INR,594.94
S000061,C07690,P002,2023-10-09,2024-03-07,Cancelled,PayPal,0,INR,149.95
S000062,C04138,P003,2023-10-17,,Active,PayPal,10,EUR,179.96
S000063,C05868,P004,2023-09-02,,Active,Credit Card,10,EUR,629.94
S000064,C10602,P003,2024-03-09,,Active,Credit Card,0,USD,449.91
S000065,C08121,P001,2021-01-13,,Active,PayPal,10,EUR,134.91
S000066,C05555,P002,2021-08-31,2021-11-29,Cancelled,Bank Transfer,20,EUR,71.98
S000067,C14265,P004,2022-11-23,,Active,Credit Card,10,USD,89.99
S000068,C12549,P004,2021-06-11,,Active,Credit Card,5,USD,949.9
S000069,C00904,P004,2023-08-14,,Active,Bank Transfer,0,USD,1099.89
S000070,C11432,P002,2022-09-19,2023-01-17,Cancelled,Credit Card,10,USD,107.96
S000071,C12306,P002,2023-08-30,,Active,Bank Transfer,0,USD,119.96
S000072,C07293,P003,2021-03-21,,Active,Credit Card,15,INR,382.42
S000073,C02726,P002,2021-05-21,,Active,Credit Card,0,INR,179.94
S000074,C06359,P002,2023-04-06,2023-09-03,Cancelled,Credit Card,10,EUR,134.95
S000075,C10989,P003,2022-10-11,2023-07-08,Cancelled,Bank Transfer,0,USD,449.91
S000076,C02823,P004,2023-07-03,,Active,PayPal,20,EUR,799.92
S000077,C00946,P002,2024-02-22,,Active,PayPal,15,USD,229.42
S000078,C00589,P003,2023-06-11,2023-07-11,Cancelled,PayPal,15,USD,42.49
S000079,C07717,P003,2021-03-17,2022-03-12,Cancelled,PayPal,5,USD,569.89
S000080,C13712,P002,2022-11-06,,Active,Credit Card,0,INR,119.96
S000081,C03389,P002,2022-01-31,,Active,PayPal,0,USD,209.93
S000082,C09417,P001,2024-01-31,,Active,Credit Card,5,USD,85.44
S000083,C05624,P001,2021-06-25,,Active,Bank Transfer,5,EUR,128.16
S000084,C11014,P004,2023-08-03,2023-10-02,Cancelled,PayPal,0,USD,199.98
S000085,C09969,P002,2022-01-01,,Active,Credit Card,10,USD,269.91
S000086,C10307,P004,2021-08-14,,Active,Credit Card,0,EUR,599.94
S000087,C03161,P004,2023-04-18,,Active,PayPal,5,USD,759.92
S000088,C13492,P002,2021-04-24,2022-03-20,Cancelled,Bank Transfer,10,EUR,296.9
S000089,C03053,P003,2023-04-17,2024-03-12,Cancelled,PayPal,20,USD,439.91
S000090,C08457,P004,2023-08-27,,Active,PayPal,5,USD,1044.9
S000091,C03933,P001,2023-10-15,2024-10-09,Cancelled,PayPal,5,USD,170.89
S000092,C10780,P003,2024-03-30,,Active,Bank Transfer,0,INR,399.92
S000093,C14602,P003,2021-09-04,,Active,Credit Card,15,USD,169.97
S000094,C07954,P002,2023-11-27,2024-09-22,Cancelled,Bank Transfer,5,INR,284.9
S000095,C04530,P002,2021-11-08,2021-12-08,Cancelled,Bank Transfer,5,EUR,28.49
S000096,C01331,P004,2024-03-09,,Active,Credit Card,5,USD,94.99
S000097,C13744,P004,2022-04-26,,Active,PayPal,10,USD,449.96
S000098,C06162,P002,2023-11-10,2024-11-04,Cancelled,PayPal,15,INR,305.9
S000099,C14151,P004,2022-06-30,,Active,Bank Transfer,20,USD,239.98
S000100,C07205,P004,2021-07-12,2021-08-11,Cancelled,PayPal,5,INR,94.99
S000101,C08261,P004,2021-09-18,,Active,Credit Card,20,EUR,959.9
S000102,C06743,P003,2021-10-25,,Active,Credit Card,10,EUR,89.98
S000103,C01589,P003,2022-06-27,2023-02-22,Cancelled,Bank Transfer,10,EUR,359.93
S000104,C01044,P001,2021-08-24,,Active,Credit Card,15,USD,25.48
S000105,C04980,P001,2023-03-28,,Active,Credit Card,5,USD,142.4
S000106,C06194,P001,2022-02-05,,Active,Bank Transfer,10,EUR,148.4
S000107,C11935,P004,2021-08-10,2022-06-06,Cancelled,Bank Transfer,15,USD,849.92
S000108,C13146,P004,2021-04-22,,Active,Bank Transfer,5,EUR,759.92
S000109,C01210,P003,2023-05-29,2023-06-28,Cancelled,PayPal,5,USD,47.49
S000110,C12173,P001,2021-09-23,,Active,PayPal,0,USD,14.99
S000111,C02089,P002,2022-07-14,2023-02-09,Cancelled,Credit Card,5,USD,199.43
S000112,C07227,P002,2022-10-01,,Active,Bank Transfer,10,USD,323.89
S000113,C09762,P004,2023-04-02,,Active,PayPal,0,USD,899.91
S000114,C09551,P003,2022-11-03,,Active,PayPal,0,USD,449.91
S000115,C09154,P002,2021-08-31,,Active,Bank Transfer,0,INR,29.99
S000116,C08859,P004,2021-10-11,,Active,PayPal,5,USD,474.95
S000117,C01714,P004,2021-08-14,,Active,PayPal,15,USD,849.92
S000118,C04072,P001,2021-08-16,,Active,PayPal,0,USD,134.91
S000119,C00521,P001,2023-01-18,,Active,PayPal,5,INR,71.2
S000120,C05990,P001,2021-05-15,,Active,Bank Transfer,0,INR,59.96
S000121,C10700,P001,2023-05-17,2024-01-12,Cancelled,Bank Transfer,15,USD,101.93
S000122,C14644,P001,2023-11-10,,Active,PayPal,10,EUR,121.42
S000123,C02577,P002,2023-01-15,,Active,PayPal,0,EUR,359.88
S000124,C04208,P004,2022-12-07,2023-05-06,Cancelled,Credit Card,0,USD,499.95
S000125,C06698,P003,2022-12-09,,Active,PayPal,20,USD,119.98
S000126,C14172,P004,2021-08-19,,Active,Credit Card,10,USD,269.97
S000127,C01916,P003,2023-02-25,2023-12-22,Cancelled,Credit Card,0,USD,499.9
S000128,C09418,P001,2024-01-04,,Active,PayPal,5,USD,71.2
S000129,C07272,P002,2022-02-12,,Active,Bank Transfer,20,USD,215.93
S000130,C11655,P004,2021-09-09,,Active,Credit Card,10,USD,539.95
S000131,C07188,P002,2021-10-16,,Active,Credit Card,0,USD,149.95
S000132,C14192,P001,2022-10-20,,Active,Credit Card,15,USD,50.97
S000133,C04669,P003,2021-10-06,2022-06-03,Cancelled,Credit Card,0,EUR,399.92
S000134,C07653,P004,2022-02-15,2022-09-13,Cancelled,PayPal,0,USD,699.93
S000135,C11570,P004,2023-08-30,,Active,PayPal,0,USD,699.93
S000136,C04313,P003,2023-05-23,2023-06-22,Cancelled,PayPal,5,USD,47.49
S000137,C00040,P002,2021-08-10,2021-11-08,Cancelled,Credit Card,10,USD,80.97
S000138,C09504,P002,2024-01-27,,Active,Bank Transfer,0,USD,359.88
S000139,C11279,P003,2023-08-05,,Active,Credit Card,20,USD,399.92
S000140,C09889,P002,2024-01-22,,Active,Bank Transfer,0,INR,179.94
S000141,C07611,P004,2022-06-07,,Active,Bank Transfer,0,USD,299.97
S000142,C11648,P003,2022-10-26,,Active,Credit Card,0,USD,299.94
S000143,C00693,P002,2022-02-09,2022-05-10,Cancelled,PayPal,20,USD,71.98
S000144,C05634,P002,2022-11-08,,Active,Bank Transfer,10,USD,80.97
S000145,C07619,P003,2024-04-10,2024-08-08,Cancelled,Bank Transfer,10,USD,179.96
S000146,C14889,P003,2023-06-16,2023-10-14,Cancelled,Bank Transfer,0,USD,199.96
S000147,C01867,P003,2021-11-12,,Active,Credit Card,15,USD,169.97
S000148,C07472,P001,2023-03-19,2023-11-14,Cancelled,PayPal,10,USD,107.93
S000149,C00851,P003,2023-10-02,2023-12-31,Cancelled,Credit Card,5,EUR,142.47
S000150,C01538,P002,2023-10-10,2024-06-06,Cancelled,Credit Card,15,USD,203.93
S000151,C01487,P003,2022-08-19,,Active,PayPal,0,USD,399.92
S000152,C12532,P002,2022-01-16,2022-11-12,Cancelled,Credit Card,0,EUR,299.9
S000153,C09035,P004,2023-05-07,,Active,Credit Card,0,USD,499.95
S000154,C09402,P004,2022-12-07,2023-02-05,Cancelled,Bank Transfer,5,USD,189.98
S000155,C02847,P003,2024-01-17,2024-06-15,Cancelled,PayPal,0,USD,249.95
S000156,C04547,P004,2021-11-24,,Active,PayPal,10,USD,449.96
S000157,C09742,P001,2023-05-07,,Active,Credit Card,10,USD,26.98
S000158,C02569,P002,2023-06-07,,Active,PayPal,0,USD,29.99
S000159,C12660,P003,2023-11-23,,Active,PayPal,0,EUR,99.98
S000160,C08802,P002,2023-07-24,,Active,Credit Card,0,INR,239.92
S000161,C14353,P001,2022-09-07,,Active,PayPal,20,INR,71.95
S000162,C07838,P001,2021-08-09,,Active,Bank Transfer,0,USD,149.9
S000163,C04771,P001,2023-05-04,2023-07-03,Cancelled,Bank Transfer,20,USD,23.98
S000164,C03515,P002,2021-06-30,,Active,PayPal,0,EUR,359.88
S000165,C11582,P004,2022-12-30,,Active,Bank Transfer,10,USD,89.99
S000166,C14946,P002,2023-07-21,,Active,PayPal,15,USD,25.49
S000167,C01352,P003,2023-08-08,,Active,PayPal,10,USD,269.95
S000168,C00502,P003,2023-09-12,,Active,Bank Transfer,0,INR,399.92
S000169,C03980,P002,2021-04-23,,Active,Credit Card,0,USD,119.96
S000170,C11085,P001,2022-07-05,,Active,Bank Transfer,0,INR,134.91
S000171,C10827,P004,2021-09-23,,Active,PayPal,0,USD,899.91
S000172,C10955,P004,2023-07-08,2023-11-05,Cancelled,PayPal,20,INR,319.97
S000173,C05249,P001,2021-03-14,,Active,Credit Card,0,EUR,14.99
S000174,C02203,P004,2023-02-20,2023-08-19,Cancelled,Credit Card,10,USD,539.95
S000175,C00628,P001,2021-12-23,2022-05-22,Cancelled,PayPal,0,INR,74.95
S000176,C10899,P003,2023-04-11,,Active,Bank Transfer,0,USD,299.94
S000177,C06504,P002,2023-05-05,2023-09-02,Cancelled,Bank Transfer,20,EUR,95.97
S000178,C09938,P004,2024-03-01,,Active,Credit Card,15,USD,934.91
S000179,C04247,P002,2023-11-20,,Active,Bank Transfer,0,USD,149.95
S000180,C11117,P004,2021-02-07,,Active,Bank Transfer,15,USD,934.91
S000181,C13128,P002,2024-01-08,2024-06-06,Cancelled,Credit Card,0,USD,149.95
S000182,C14741,P002,2022-10-05,,Active,Credit Card,0,EUR,239.92
S000183,C02509,P003,2022-07-09,,Active,PayPal,10,USD,494.9
S000184,C08128,P004,2021-07-10,2022-04-06,Cancelled,Credit Card,0,USD,899.91
S000185,C03086,P001,2023-02-23,2023-09-21,Cancelled,Credit Card,5,USD,99.68
S000186,C06432,P001,2023-09-25,,Active,Bank Transfer,10,USD,161.89
S000187,C08091,P002,2021-10-06,,Active,Bank Transfer,0,EUR,209.93
S000188,C12839,P001,2022-09-19,,Active,Bank Transfer,0,USD,119.92
S000189,C09538,P002,2023-11-13,2024-07-10,Cancelled,Credit Card,5,USD,227.92
S000190,C03535,P003,2022-03-15,,Active,Credit Card,15,USD,382.42
S000191,C00052,P003,2021-11-13,,Active,PayPal,20,USD,159.97
S000192,C02134,P001,2023-09-26,,Active,Credit Card,0,EUR,164.89
S000193,C07010,P001,2021-09-08,,Active,Bank Transfer,0,USD,14.99
S000194,C05086,P003,2021-12-09,,Active,Bank Transfer,20,USD,79.98
S000195,C08430,P001,2023-05-02,,Active,PayPal,0,USD,119.92
S000196,C11633,P003,2023-11-11,2024-08-07,Cancelled,Credit Card,10,USD,404.92
S000197,C06493,P004,2021-04-25,,Active,Credit Card,0,EUR,599.94
S000198,C06988,P001,2024-01-27,,Active,Bank Transfer,5,USD,28.48
S000199,C08710,P001,2021-04-04,,Active,Credit Card,0,INR,14.99
S000200,C10688,P003,2023-07-03,2023-09-01,Cancelled,Bank Transfer,0,USD,99.98
S000201,C12702,P003,2024-04-07,,Active,PayPal,0,EUR,599.88
S000202,C08674,P002,2021-07-22,,Active,PayPal,5,USD,170.94
S000203,C14802,P001,2021-10-28,,Active,PayPal,5,INR,113.92
S000204,C09585,P001,2022-02-26,,Active,Credit Card,0,USD,134.91
S000205,C04354,P002,2023-08-24,,Active,PayPal,0,USD,29.99
S000206,C02810,P002,2021-11-08,,Active,Credit Card,5,EUR,56.98
S000207,C02444,P002,2023-01-20,,Active,Credit Card,0,USD,59.98
S000208,C08604,P003,2023-03-30,,Active,Credit Card,10,USD,404.92
S000209,C12916,P002,2022-01-17,,Active,PayPal,5,EUR,142.45
S000210,C08666,P002,2023-03-28,,Active,Credit Card,0,INR,29.99
S000211,C12932,P003,2021-02-25,,Active,Credit Card,0,USD,349.93
S000212,C06168,P002,2023-02-23,,Active,Bank Transfer,0,INR,89.97
S000213,C01106,P001,2021-05-23,2021-07-22,Cancelled,Bank Transfer,0,USD,29.98
S000214,C14651,P001,2021-09-08,2022-09-03,Cancelled,Bank Transfer,15,USD,152.9
S000215,C04219,P004,2022-12-11,,Active,Credit Card,10,EUR,989.9
S000216,C09564,P002,2022-05-05,,Active,PayPal,0,USD,299.9
S000217,C11749,P001,2022-11-08,,Active,Bank Transfer,20,EUR,71.95
S000218,C14860,P002,2022-01-07,,Active,Bank Transfer,0,EUR,329.89
S000219,C12836,P001,2021-01-21,2021-02-20,Cancelled,PayPal,20,USD,11.99
S000220,C06395,P002,2021-02-01,,Active,PayPal,5,INR,113.96
S000221,C10838,P001,2021-11-09,,Active,PayPal,0,USD,164.89
S000222,C13583,P002,2021-09-25,,Active,PayPal,5,USD,284.9
S000223,C08346,P004,2023-04-21,,Active,PayPal,10,USD,719.93
S000224,C13595,P004,2021-06-09,,Active,PayPal,5,EUR,474.95
S000225,C14715,P004,2022-08-16,2022-09-15,Cancelled,PayPal,0,INR,99.99
S000226,C11328,P002,2023-02-23,,Active,PayPal,0,USD,209.93
S000227,C08165,P004,2023-06-15,,Active,PayPal,0,USD,599.94
S000228,C04905,P004,2021-07-18,,Active,Bank Transfer,0,USD,599.94
S000229,C10477,P004,2022-11-11,,Active,Credit Card,5,INR,949.9
S000230,C02754,P001,2023-04-09,,Active,Bank Transfer,5,EUR,113.92
S000231,C05607,P001,2021-01-19,2022-01-14,Cancelled,Credit Card,0,INR,179.88
S000232,C14616,P002,2024-02-13,,Active,Bank Transfer,0,USD,59.98
S000233,C00207,P004,2023-03-19,,Active,Credit Card,15,EUR,339.97
S000234,C10980,P003,2024-03-19,2024-10-15,Cancelled,Bank Transfer,15,EUR,297.44
S000235,C01406,P002,2021-01-29,,Active,Credit Card,0,INR,119.96
S000236,C05915,P004,2021-10-31,,Active,Bank Transfer,20,USD,479.95
S000237,C14171,P003,2023-02-06,2023-07-06,Cancelled,Bank Transfer,10,USD,224.96
S000238,C09205,P001,2021-03-06,,Active,Bank Transfer,20,USD,119.92
S000239,C11380,P002,2024-01-22,,Active,Credit Card,10,INR,53.98
S000240,C10421,P001,2023-11-03,,Active,Credit Card,0,USD,134.91
S000241,C06984,P001,2024-03-14,,Active,Credit Card,20,EUR,47.97
S000242,C10115,P004,2022-03-23,,Active,Credit Card,5,EUR,759.92
S000243,C12789,P002,2022-07-14,,Active,Bank Transfer,0,USD,149.95
S000244,C02206,P003,2021-04-04,2022-03-30,Cancelled,Credit Card,15,INR,509.9
S000245,C01606,P003,2022-09-27,2023-07-24,Cancelled,Credit Card,0,EUR,499.9
S000246,C13187,P004,2023-12-15,2024-07-12,Cancelled,Credit Card,15,USD,594.94
S000247,C11895,P004,2021-09-26,,Active,PayPal,0,USD,599.94
S000248,C01365,P003,2023-11-10,,Active,PayPal,5,USD,379.92
S000249,C13982,P003,2022-06-25,2023-06-20,Cancelled,PayPal,5,EUR,569.89
S000250,C08128,P002,2023-08-17,,Active,Credit Card,0,USD,329.89
S000251,C02632,P002,2024-03-27,2024-06-25,Cancelled,Bank Transfer,15,USD,76.47
S000252,C07824,P003,2023-01-25,,Active,Bank Transfer,5,EUR,332.43
S000253,C11982,P001,2021-10-06,2022-09-01,Cancelled,Bank Transfer,0,EUR,164.89
S000254,C13271,P001,2023-06-15,2023-12-12,Cancelled,PayPal,0,USD,89.94
S000255,C09135,P003,2023-03-30,2023-08-27,Cancelled,Bank Transfer,15,USD,212.46
S000256,C09945,P004,2021-01-22,,Active,Bank Transfer,10,USD,719.93
S000257,C13066,P001,2021-02-03,,Active,PayPal,5,INR,56.96
S000258,C10540,P001,2021-03-04,,Active,Credit Card,0,USD,14.99
S000259,C03884,P004,2022-04-06,,Active,Credit Card,0,USD,1199.88
S000260,C03744,P003,2021-12-09,2022-05-08,Cancelled,Credit Card,15,INR,212.46
S000261,C02716,P003,2023-05-31,2024-01-26,Cancelled,Credit Card,20,USD,319.94
S000262,C14544,P001,2023-03-22,,Active,PayPal,10,INR,40.47
S000263,C11981,P003,2022-08-31,,Active,PayPal,10,EUR,134.97
S000264,C08752,P001,2024-02-28,2025-02-22,Cancelled,Credit Card,5,EUR,170.89
S000265,C08232,P001,2022-08-09,,Active,Credit Card,10,USD,53.96
S000266,C06267,P002,2022-08-06,,Active,Credit Card,0,USD,179.94
S000267,C06587,P003,2022-06-19,,Active,PayPal,15,USD,127.47
S000268,C05465,P002,2023-07-10,2024-06-04,Cancelled,Credit Card,0,EUR,329.89
S000269,C00428,P001,2023-11-28,2024-06-25,Cancelled,Credit Card,5,EUR,99.68
S000270,C08984,P001,2022-12-04,,Active,PayPal,5,INR,85.44
S000271,C07612,P001,2021-03-04,2021-11-29,Cancelled,PayPal,10,INR,121.42
S000272,C02408,P001,2021-02-27,,Active,PayPal,0,EUR,44.97
S000273,C13019,P001,2023-09-30,2023-10-30,Cancelled,Credit Card,0,USD,14.99
S000274,C04130,P004,2024-04-05,2024-07-04,Cancelled,Credit Card,10,EUR,269.97
S000275,C09897,P001,2021-08-14,,Active,Bank Transfer,10,INR,67.46
S000276,C05447,P001,2022-10-19,,Active,Credit Card,5,USD,56.96
S000277,C01572,P001,2022-03-27,,Active,Credit Card,15,USD,63.71
S000278,C11107,P004,2023-02-27,,Active,Bank Transfer,0,USD,999.9
S000279,C07137,P002,2022-10-25,,Active,PayPal,0,USD,29.99
S000280,C11972,P001,2021-07-06,,Active,Bank Transfer,15,USD,38.22
S000281,C11734,P003,2023-03-23,2023-06-21,Cancelled,Bank Transfer,20,USD,119.98
S000282,C02549,P002,2022-11-02,,Active,PayPal,0,USD,299.9
S000283,C12746,P001,2023-07-20,,Active,PayPal,15,INR,101.93
S000284,C10322,P003,2021-09-02,,Active,Credit Card,10,EUR,224.96
S000285,C13727,P002,2022-02-24,2022-11-21,Cancelled,Bank Transfer,0,USD,269.91
S000286,C06459,P001,2023-05-18,,Active,Bank Transfer,10,EUR,13.49
S000287,C09608,P003,2022-04-10,,Active,Bank Transfer,0,EUR,299.94
S000288,C03499,P003,2021-06-07,,Active,Bank Transfer,15,USD,42.49
S000289,C14595,P004,2022-06-23,,Active,Credit Card,10,INR,899.91
S000290,C14000,P001,2021-08-16,,Active,Credit Card,20,EUR,59.96
S000291,C07424,P003,2022-03-22,2022-09-18,Cancelled,Credit Card,5,USD,284.94
S000292,C12956,P002,2022-01-19,,Active,PayPal,10,INR,161.95
S000293,C05247,P003,2021-04-16,,Active,Bank Transfer,5,USD,189.96
S000294,C06355,P003,2022-09-14,2023-07-11,Cancelled,Bank Transfer,0,INR,499.9
S000295,C14728,P002,2021-12-09,,Active,Bank Transfer,15,INR,254.91
S000296,C01724,P002,2021-04-19,,Active,Credit Card,0,USD,239.92
S000297,C01855,P004,2021-07-11,,Active,Credit Card,10,USD,269.97
S000298,C06470,P003,2023-12-14,2024-01-13,Cancelled,PayPal,10,USD,44.99
S000299,C11164,P001,2021-05-08,,Active,Bank Transfer,10,USD,121.42
S000300,C06346,P002,2023-11-05,2024-08-01,Cancelled,Credit Card,10,INR,242.92
S000301,C14708,P001,2023-08-20,2023-09-19,Cancelled,Bank Transfer,15,USD,12.74
S000302,C02040,P001,2021-06-03,,Active,Bank Transfer,0,USD,89.94
S000303,C05881,P002,2022-10-07,2023-07-04,Cancelled,Bank Transfer,5,USD,256.41
S000304,C11025,P002,2023-04-29,,Active,PayPal,5,EUR,256.41
S000305,C06016,P001,2022-03-31,2023-03-26,Cancelled,Credit Card,20,USD,143.9
S000306,C06750,P001,2024-03-31,2024-11-26,Cancelled,Bank Transfer,5,EUR,113.92
S000307,C05882,P001,2022-08-20,,Active,Credit Card,20,EUR,95.94
S000308,C05640,P004,2022-08-13,2023-06-09,Cancelled,Credit Card,5,INR,949.9
S000309,C02611,P001,2023-05-28,2023-11-24,Cancelled,Bank Transfer,5,USD,85.44
S000310,C09249,P003,2022-08-27,2023-07-23,Cancelled,Credit Card,5,EUR,522.4
S000311,C14606,P004,2021-04-25,2022-03-21,Cancelled,Bank Transfer,10,EUR,989.9
S000312,C05009,P001,2022-08-01,2023-04-28,Cancelled,Bank Transfer,5,INR,128.16
S000313,C04737,P002,2021-02-25,,Active,Credit Card,5,USD,113.96
S000314,C11785,P001,2021-02-01,,Active,Bank Transfer,0,USD,179.88
S000315,C11536,P002,2022-08-19,,Active,Bank Transfer,5,USD,284.9
S000316,C02069,P001,2023-03-29,,Active,Bank Transfer,5,USD,28.48
S000317,C05446,P001,2021-03-24,,Active,Credit Card,5,USD,28.48
S000318,C05122,P003,2022-01-20,2023-01-15,Cancelled,Credit Card,0,USD,599.88
S000319,C13195,P002,2022-09-05,,Active,PayPal,15,USD,203.93
S000320,C14007,P002,2021-03-28,,Active,Credit Card,5,INR,227.92
S000321,C02642,P002,2023-02-25,,Active,Bank Transfer,15,EUR,280.41
S000322,C00971,P003,2023-11-04,,Active,Credit Card,20,USD,79.98
S000323,C11621,P001,2022-03-26,,Active,Credit Card,15,INR,89.19
S000324,C02607,P004,2021-07-02,,Active,Bank Transfer,0,EUR,599.94
S000325,C04729,P002,2021-12-21,,Active,Credit Card,0,EUR,329.89
S000326,C13978,P001,2024-02-29,,Active,PayPal,10,EUR,134.91
S000327,C13724,P003,2023-10-29,,Active,Credit Card,15,EUR,127.47
S000328,C02441,P004,2022-02-24,,Active,Bank Transfer,0,USD,499.95
S000329,C06847,P003,2021-09-24,,Active,PayPal,20,USD,159.97
S000330,C07636,P003,2021-07-09,,Active,Bank Transfer,5,INR,569.89
S000331,C05132,P001,2022-04-10,,Active,Bank Transfer,20,INR,71.95
S000332,C09282,P002,2021-09-21,,Active,Bank Transfer,5,EUR,170.94
S000333,C04961,P004,2023-11-04,2024-04-02,Cancelled,Credit Card,0,USD,499.95
S000334,C07440,P003,2022-06-18,,Active,Credit Card,0,USD,299.94
S000335,C01645,P003,2022-01-22,2022-05-22,Cancelled,Bank Transfer,5,USD,189.96
S000336,C04672,P004,2024-04-05,,Active,PayPal,20,USD,239.98
S000337,C07702,P003,2023-04-29,,Active,Credit Card,0,INR,599.88
S000338,C04131,P001,2022-11-21,,Active,Bank Transfer,10,USD,107.93
S000339,C06430,P001,2021-10-16,,Active,PayPal,15,EUR,152.9
S000340,C07249,P002,2023-05-27,,Active,Bank Transfer,10,EUR,53.98
S000341,C06785,P001,2023-01-29,2023-04-29,Cancelled,PayPal,20,EUR,35.98
S000342,C03594,P002,2024-01-20,,Active,Bank Transfer,0,USD,119.96
S000343,C14933,P002,2023-06-06,,Active,Bank Transfer,10,USD,242.92
S000344,C11560,P003,2022-04-24,,Active,Bank Transfer,10,INR,359.93
S000345,C07843,P003,2023-08-11,,Active,PayPal,0,USD,299.94
